seed_rep,p50_us,p95_us,p99_us,throughput_rps
0,856.5210737287998,1520.7457356154919,2119.423139374703,1040.5741451020529
1,1354.9795839935541,2752.4813660420477,4057.3210222646594,626.8808269321416
2,918.2085050269961,1775.906269904226,2628.4024072811007,907.7195443196131
3,985.7703698799014,2562.3583584092557,3864.7519424557686,743.4846603707813
4,981.9584665820003,1980.9891004115343,3155.6575186550617,813.0625490844334
5,922.1455547958612,1758.8667338714004,2458.606497384608,943.7920328548389
6,907.1045788004994,2210.0306930951774,3534.810049459338,832.3341652599787
7,845.5208735540509,1580.2016016095877,2108.398803975433,1042.7209824841734
8,814.375001937151,1643.5579513199627,2746.396022848785,998.3655591601745
9,1317.562535405159,3009.88134695217,4250.433277338743,582.7083454654468

mean,990.4146543703973,2079.5019157230854,3092.42006810382,853.1642811033635
