seed_rep,p50_us,p95_us,p99_us,throughput_rps
0,60.08311174809933,78.45599902793765,150.3283460624516,14956.777722624633
1,58.999983593821526,76.4590222388506,149.7852965258062,15194.064287142235
2,58.50009620189667,75.45808330178261,149.79204861447215,15302.349575738415
3,60.87496876716614,101.33327450603247,184.16351405903697,13929.83519590924
4,60.79208105802536,87.49781409278512,174.66721823439002,14217.160498801928
5,59.165991842746735,77.45582843199372,151.66704542934895,15124.633592308848
6,58.959005400538445,76.6250304877758,151.6251335851848,15178.179509682808
7,59.125013649463654,77.45577022433281,152.37152110785246,15174.441592973411
8,59.709069319069386,76.91695354878902,151.4152344316244,15084.373508754987
9,59.91698708385229,79.57693887874484,153.70637644082308,14961.620630535197

mean,59.61263086646795,80.72347147390246,156.95217344909906,14912.34361144717
