iteration,isolation,burst_threads,accepted,check_exclusion_ok,check_audit_ok,check_exclusion_detail,check_audit_detail
0,READ COMMITTED,8,8,0,1,entity_id=34000000 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
1,READ COMMITTED,8,8,0,1,entity_id=34000001 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=2 accepted=8
2,READ COMMITTED,8,8,0,1,entity_id=34000002 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=8 accepted=8
3,READ COMMITTED,8,8,0,1,entity_id=34000003 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
4,READ COMMITTED,8,8,0,1,entity_id=34000004 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=11 accepted=8
5,READ COMMITTED,8,8,0,1,entity_id=34000005 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=11 accepted=8
6,READ COMMITTED,8,8,0,1,entity_id=34000006 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=4 accepted=8
7,READ COMMITTED,8,8,0,1,entity_id=34000007 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
8,READ COMMITTED,8,8,0,1,entity_id=34000008 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
9,READ COMMITTED,8,8,0,1,entity_id=34000009 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
10,READ COMMITTED,8,8,0,1,entity_id=34000010 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=4 accepted=8
11,READ COMMITTED,8,8,0,1,entity_id=34000011 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=5 accepted=8
12,READ COMMITTED,8,8,0,1,entity_id=34000012 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
13,READ COMMITTED,8,8,0,1,entity_id=34000013 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
14,READ COMMITTED,8,8,0,1,entity_id=34000014 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
15,READ COMMITTED,8,8,0,1,entity_id=34000015 attribute='s4_slot' has 3 live rows; expected <= 1,fact=8 audit=6 accepted=8
16,READ COMMITTED,8,8,0,1,entity_id=34000016 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
17,READ COMMITTED,8,8,0,1,entity_id=34000017 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=12 accepted=8
18,READ COMMITTED,8,8,0,1,entity_id=34000018 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=5 accepted=8
19,READ COMMITTED,8,8,0,1,entity_id=34000019 attribute='s4_slot' has 4 live rows; expected <= 1,fact=8 audit=13 accepted=8
20,READ COMMITTED,8,8,0,1,entity_id=34000020 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=5 accepted=8
21,READ COMMITTED,8,8,0,1,entity_id=34000021 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=4 accepted=8
22,READ COMMITTED,8,8,0,1,entity_id=34000022 attribute='s4_slot' has 5 live rows; expected <= 1,fact=8 audit=15 accepted=8
23,READ COMMITTED,8,8,0,1,entity_id=34000023 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
