iteration,isolation,burst_threads,accepted,check_exclusion_ok,check_audit_ok,check_exclusion_detail,check_audit_detail
0,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
1,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
2,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
3,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
4,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
5,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
6,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
7,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
8,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
9,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
10,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
11,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
12,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
13,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
14,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
15,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
16,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
17,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
18,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
19,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
20,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
21,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
22,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
23,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
24,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
25,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
26,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
27,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
28,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
29,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
30,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
31,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
