cell_id,client_count,contention,isolation,retry_mode,writes_attempted,writes_committed,writes_dropped,serialization_failures,deadlock_failures,retries_total,retries_p50,retries_p95,retries_p99,latency_p50_us,latency_p95_us,latency_p99_us,wall_clock_s,throughput_rps,invariant_violations_count,invariant_violations
n1_c1_READCOMMITTED_raw,1,0.01,READ COMMITTED,raw,1000,1000,0,0,0,0,0.0,0.0,0.0,106.1044167727232,244.77168917655945,514.9449035525322,0.2033090591430664,4918.619977953421,0,[]
n1_c1_READCOMMITTED_app,1,0.01,READ COMMITTED,app,1000,1000,0,0,0,0,0.0,0.0,0.0,101.45781561732292,171.98531422764063,264.27099481225014,0.17468023300170898,5724.746199475338,0,[]
n1_c1_SERIALIZABLE_raw,1,0.01,SERIALIZABLE,raw,1000,1000,0,0,0,0,0.0,0.0,0.0,103.16702537238598,226.75790823996067,395.22104896605015,0.1845259666442871,5419.291486101313,0,[]
n1_c1_SERIALIZABLE_app,1,0.01,SERIALIZABLE,app,1000,1000,0,0,0,0,0.0,0.0,0.0,110.5212140828371,265.75883384793997,459.0877424925566,0.20518708229064941,4873.601148943142,0,[]
n1_c100_READCOMMITTED_raw,1,1.0,READ COMMITTED,raw,1000,1000,0,0,0,0,0.0,0.0,0.0,173.02017658948898,252.60248221457005,374.460332095623,0.25614023208618164,3904.1113996630456,0,[]
n1_c100_READCOMMITTED_app,1,1.0,READ COMMITTED,app,1000,1000,0,0,0,0,0.0,0.0,0.0,170.31258903443813,312.61842232197523,604.263786226511,0.27588605880737305,3624.6847858963833,0,[]
n1_c100_SERIALIZABLE_raw,1,1.0,SERIALIZABLE,raw,1000,1000,0,0,0,0,0.0,0.0,0.0,210.1454883813858,342.5399772822857,540.4347786679864,0.3014390468597412,3317.4202559939004,0,[]
n1_c100_SERIALIZABLE_app,1,1.0,SERIALIZABLE,app,1000,1000,0,0,0,0,0.0,0.0,0.0,197.66716286540031,284.0911038219929,413.6524861678481,0.2760491371154785,3622.543473416742,0,[]
n2_c1_READCOMMITTED_raw,2,0.01,READ COMMITTED,raw,2000,2000,0,0,0,0,0.0,0.0,0.0,114.54196646809578,210.85618063807487,326.0423941537738,0.20216035842895508,9893.136396979911,0,[]
n2_c1_READCOMMITTED_app,2,0.01,READ COMMITTED,app,2000,2000,0,0,0,0,0.0,0.0,0.0,116.85444042086601,228.56895811855793,328.6389959976077,0.20645928382873535,9687.140064183623,0,[]
